Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	13500.0
Centrála	Provozní výdaje finančního odboru	10000.0
Centrála	Provozní výdaje mediálního odboru	235500.0
Centrála	Provozní výdaje personálního odboru	448831.0
Centrála	Provozní výdaje předsednictva	40000.0
Centrála	Provozní výdaje republikového výboru	8000.0
Centrála	Provozní výdaje technického odboru	78024.0
Centrála	Provozní výdaje zahraničního odboru	16480.0
Centrála	Výdaje na právní záležitosti	0.0
Centrála	Výdaje transformace	50880.0
Jihočeský kraj	Mzdové náklady vedoucí MO	10000.0
Kraj Vysočina	Personální výdaje	22500.0
Praha	Koordinace dobrovolníků	55805.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	40122.0
Praha	Podpora senátora L. Michálka	12920.0
Praha	Stínoví zastupitelé	15362.0
Praha	Volební výdaje na volby do ZHMP	6000.0
