Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	37000.0
Centrála	Provozní výdaje finančního odboru	13450.0
Centrála	Provozní výdaje mediálního odboru	253000.0
Centrála	Provozní výdaje personálního odboru	462637.0
Centrála	Provozní výdaje předsednictva	35000.0
Centrála	Provozní výdaje republikového výboru	8000.0
Centrála	Provozní výdaje technického odboru	57000.0
Centrála	Provozní výdaje zahraničního odboru	16800.0
Centrála	Výdaje na právní záležitosti	0.0
Centrála	Výdaje transformace	60900.0
Centrála	Činnost poslaneckého klubu	87000.0
Jihočeský kraj	Mzdové náklady vedoucí MO	8950.0
Kraj Vysočina	Personální výdaje	23590.0
Praha	Koordinace dobrovolníků	42949.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	8929.0
Praha	Podpora senátora L. Michálka	14760.0
Praha	Stínoví zastupitelé	17375.0
Praha	Volební výdaje na volby do ZHMP	29000.0
