Rozpočet	Položka	Náklady
Centrála	Mzdy a odměny	167550.0
Centrála	Odměny vedoucích za výkon funkce	48657.0
Centrála	Provozní výdaje administrativního odboru	27330.0
Centrála	Provozní výdaje mediálního odboru	20352.0
Centrála	Provozní výdaje předsednictva	8798.0
Centrála	Volební kampaň do sněmovny	8500.0
Centrála	Výdaje na právní záležitosti	2320.0
Jihočeský kraj	Mediální odbor Jihočeský kraj	1500.0
Královehradecký kraj	Příspěvek na činnost krajského zastupitele	6666.0
Praha	Koordinace dobrovolníků	14560.0
Praha	Odměny zastupitelů	4371.0
