Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	34000.0
Centrála	Provozní výdaje finančního odboru	10000.0
Centrála	Provozní výdaje mediálního odboru	223000.0
Centrála	Provozní výdaje personálního odboru	439894.0
Centrála	Provozní výdaje předsednictva	30000.0
Centrála	Provozní výdaje republikového výboru	8000.0
Centrála	Provozní výdaje technického odboru	57000.0
Centrála	Provozní výdaje zahraničního odboru	17580.0
Centrála	Výdaje na právní záležitosti	0.0
Centrála	Výdaje transformace	59400.0
Centrála	Činnost poslaneckého klubu	87000.0
Jihočeský kraj	Mzdové náklady vedoucí MO	3625.0
Kraj Vysočina	Personální výdaje	20000.0
Praha	Koordinace dobrovolníků	30000.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	16191.0
Praha	Podpora senátora L. Michálka	5700.0
Praha	Provozní výdaje zahraničního odboru	0.0
Praha	Stínoví zastupitelé	16500.0
Praha	Volební výdaje na volby do ZHMP	29000.0
