Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	37500.0
Centrála	Provozní výdaje finančního odboru	14100.0
Centrála	Provozní výdaje mediálního odboru	248500.0
Centrála	Provozní výdaje personálního odboru	423138.0
Centrála	Provozní výdaje předsednictva	34000.0
Centrála	Provozní výdaje republikového výboru	8000.0
Centrála	Provozní výdaje technického odboru	71200.0
Centrála	Provozní výdaje zahraničního odboru	17290.0
Centrála	Výdaje na právní záležitosti	1920.0
Centrála	Výdaje transformace	52000.0
Centrála	Činnost poslaneckého klubu	87000.0
Jihočeský kraj	Mzdové náklady vedoucí MO	4750.0
Kraj Vysočina	Personální výdaje	23000.0
Praha	Koordinace dobrovolníků	42726.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	32230.0
Praha	Podpora senátora L. Michálka	14500.0
Praha	Stínoví zastupitelé	15225.0
Praha	Volební výdaje na volby do ZHMP	37000.0
